url,status,indexable,canonical,title,h1,town,page_type,target_intent,action
"/bjj-classes/adults-tannersville-ny","200","yes","https://senseisandy.com/bjj-classes/adults-tannersville-ny","Adult Jiu-Jitsu in Tannersville | Sensei Sandy BJJ","Sustainable Jiu-Jitsu for Adults","tannersville","local/support page","informational or supporting","REVIEW INTENT"
"/bjj-classes/haines-falls-ny","200","yes","https://senseisandy.com/bjj-classes/haines-falls-ny","Jiu-Jitsu Near Haines Falls, NY | Sensei Sandy BJJ","Haines Falls Jiu-Jitsu &amp; Kids Martial Arts","haines falls","local landing page","commercial local","KEEP"
"/bjj-classes/hunter-ny","200","yes","https://senseisandy.com/bjj-classes/hunter-ny","Martial Arts & BJJ Near Hunter, NY | Sensei Sandy BJJ","Martial Arts &amp; Jiu-Jitsu Near Hunter, NY","hunter","local landing page","commercial local","KEEP"
"/bjj-classes/kids-tannersville-ny","200","yes","https://senseisandy.com/bjj-classes/kids-tannersville-ny","Kids Jiu-Jitsu in Tannersville | Sensei Sandy BJJ","Kids Jiu-Jitsu That Builds Focus, Confidence, and Follow-Through.","tannersville","local/support page","informational or supporting","REVIEW INTENT"
"/bjj-classes/tannersville-ny","200","yes","https://senseisandy.com/bjj-classes/tannersville-ny","Brazilian Jiu-Jitsu in Tannersville, NY | Sensei Sandy BJJ","Brazilian Jiu-Jitsu in Tannersville, NY","tannersville","local landing page","commercial local","KEEP"
"/bjj-classes/teens-tannersville-ny","200","yes","https://senseisandy.com/bjj-classes/teens-tannersville-ny","Teen Jiu-Jitsu in Tannersville, NY | Sensei Sandy BJJ","Teen Jiu-Jitsu &amp; Self-Defense in Tannersville, NY","tannersville","local/support page","informational or supporting","REVIEW INTENT"
"/bjj-classes/windham-ny","200","yes","https://senseisandy.com/bjj-classes/windham-ny","Brazilian Jiu-Jitsu Near Windham, NY | Sensei Sandy BJJ","Jiu-Jitsu &amp; Martial Arts Near Windham, NY","windham","local landing page","commercial local","KEEP"
"/blog/beginner-friendly-bjj-tannersville-evidence","200","yes","https://senseisandy.com/blog/beginner-friendly-bjj-tannersville","Beginner Friendly BJJ in Tannersville NY | Sensei Sandy","Beginner Friendly BJJ in Tannersville: How to Start Without Feeling Lost","tannersville","informational article","informational or supporting","REVIEW INTENT"
"/blog/beginner-friendly-bjj-tannersville","200","yes","https://senseisandy.com/blog/beginner-friendly-bjj-tannersville","Beginner-Friendly BJJ in Tannersville | Sensei Sandy","Beginner Friendly BJJ in Tannersville: How to Start Without Feeling Lost","tannersville","informational article","informational or supporting","REVIEW INTENT"
"/blog/gi-bjj-windham-ny","200","yes","https://senseisandy.com/blog/gi-bjj-windham-ny","Gi Jiu Jitsu Windham NY | Beginner BJJ | Sensei Sandy BJJ","Gi Jiu Jitsu in Windham NY: Why It’s the Best Way to Start","windham","informational article","informational or supporting","REVIEW INTENT"
